ticker,status,rows,first_date,last_date,expected_last_date,file
AAM,partial,345,16/09/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\AAM.parquet
AD,partial,123,06/08/2025,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\AD.parquet
AEXA,partial,87,26/09/2025,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\AEXA.parquet
AFJK,partial,509,22/01/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\AFJK.parquet
AII,partial,184,08/05/2025,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\AII.parquet
AIOT,partial,403,24/06/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\AIOT.parquet
AIRO,partial,159,13/06/2025,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\AIRO.parquet
AKTS,partial,683,03/01/2023,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\AKTS.parquet
ALAB,partial,468,20/03/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ALAB.parquet
ALDF,partial,282,13/12/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ALDF.parquet
ALF,partial,375,02/08/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ALF.parquet
ALH,partial,78,09/10/2025,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ALH.parquet
ALMS,partial,399,28/06/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ALMS.parquet
AMTM,partial,339,24/09/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\AMTM.parquet
ANDG,partial,30,17/12/2025,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ANDG.parquet
ANGX,partial,98,11/09/2025,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ANGX.parquet
ANRO,partial,500,02/02/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ANRO.parquet
ANSC,partial,521,03/01/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ANSC.parquet
APGE,partial,640,14/07/2023,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\APGE.parquet
APXT,partial,51,17/11/2025,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\APXT.parquet
ARDT,partial,386,18/07/2024,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ARDT.parquet
ARTCU,partial,18,06/01/2026,30/01/2026,30/01/2026,C:\Users\anish\PycharmProjects\ALGO-Stocks\data\raw\prices_daily\twelvedata\parquets\ARTCU.parquet
